model,n_neighbors,contamination,anomaly_count,jaccard_vs_baseline,containment_vs_baseline,is_manuscript_config
LOF,10,auto,2586,0.4733,0.9424,False
LOF,10,0.01,1000,0.1969,0.987,False
LOF,10,0.02,2000,0.3839,0.971,False
LOF,10,0.03,3000,0.5206,0.913,False
LOF,10,0.05,5000,0.6069,0.7554,False
LOF,10,0.07,7000,0.5476,0.8492,False
LOF,10,0.1,10000,0.4362,0.9112,False
LOF,10,0.15,15000,0.3122,0.9518,False
LOF,10,0.2,20000,0.2403,0.9688,False
LOF,15,auto,2566,0.5111,0.9973,False
LOF,15,0.01,1000,0.2,1.0,False
LOF,15,0.02,2000,0.3992,0.9985,False
LOF,15,0.03,3000,0.5949,0.9947,False
LOF,15,0.05,5000,0.796,0.8864,False
LOF,15,0.07,7000,0.6736,0.966,False
LOF,15,0.1,10000,0.4927,0.9902,False
LOF,15,0.15,15000,0.3319,0.9968,False
LOF,15,0.2,20000,0.2496,0.9986,False
LOF,20,auto,2565,0.513,1.0,False
LOF,20,0.01,1000,0.2,1.0,False
LOF,20,0.02,2000,0.4,1.0,False
LOF,20,0.03,3000,0.6,1.0,False
LOF,20,0.05,5000,1.0,1.0,True
LOF,20,0.07,7000,0.7143,1.0,False
LOF,20,0.1,10000,0.5,1.0,False
LOF,20,0.15,15000,0.3333,1.0,False
LOF,20,0.2,20000,0.25,1.0,False
LOF,25,auto,2585,0.5128,0.9946,False
LOF,25,0.01,1000,0.2,1.0,False
LOF,25,0.02,2000,0.3989,0.998,False
LOF,25,0.03,3000,0.592,0.9917,False
LOF,25,0.05,5000,0.8406,0.9134,False
LOF,25,0.07,7000,0.7048,0.9922,False
LOF,25,0.1,10000,0.4987,0.9982,False
LOF,25,0.15,15000,0.3332,0.9996,False
LOF,25,0.2,20000,0.25,1.0,False
LOF,30,auto,2565,0.4959,0.9778,False
LOF,30,0.01,1000,0.1983,0.993,False
LOF,30,0.02,2000,0.3944,0.99,False
LOF,30,0.03,3000,0.5659,0.9637,False
LOF,30,0.05,5000,0.7587,0.8628,False
LOF,30,0.07,7000,0.6704,0.9632,False
LOF,30,0.1,10000,0.4918,0.989,False
LOF,30,0.15,15000,0.3307,0.994,False
LOF,30,0.2,20000,0.2488,0.996,False
LOF,40,auto,2613,0.4593,0.917,False
LOF,40,0.01,1000,0.1952,0.98,False
LOF,40,0.02,2000,0.3715,0.948,False
LOF,40,0.03,3000,0.5103,0.901,False
LOF,40,0.05,5000,0.6461,0.785,False
LOF,40,0.07,7000,0.6017,0.9016,False
LOF,40,0.1,10000,0.4697,0.9588,False
LOF,40,0.15,15000,0.3247,0.9804,False
LOF,40,0.2,20000,0.2453,0.9848,False
LOF,50,auto,2660,0.4288,0.8643,False
LOF,50,0.01,1000,0.1881,0.95,False
LOF,50,0.02,2000,0.3438,0.8955,False
LOF,50,0.03,3000,0.4652,0.8467,False
LOF,50,0.05,5000,0.5679,0.7244,False
LOF,50,0.07,7000,0.5474,0.849,False
LOF,50,0.1,10000,0.4454,0.9244,False
LOF,50,0.15,15000,0.3167,0.9622,False
LOF,50,0.2,20000,0.2419,0.9738,False
