model,n_estimators,contamination,anomaly_count,jaccard_vs_baseline,containment_vs_baseline,is_manuscript_config
IsolationForest,50,0.01,1000,0.2,1.0,False
IsolationForest,50,0.02,2000,0.4,1.0,False
IsolationForest,50,0.03,3000,0.6,1.0,False
IsolationForest,50,0.05,5000,0.8793,0.9358,False
IsolationForest,50,0.07,7000,0.7143,1.0,False
IsolationForest,50,0.1,10000,0.5,1.0,False
IsolationForest,50,0.15,15000,0.3333,1.0,False
IsolationForest,50,0.2,20000,0.25,1.0,False
IsolationForest,100,0.01,1000,0.2,1.0,False
IsolationForest,100,0.02,2000,0.4,1.0,False
IsolationForest,100,0.03,3000,0.6,1.0,False
IsolationForest,100,0.05,5000,1.0,1.0,True
IsolationForest,100,0.07,7000,0.7143,1.0,False
IsolationForest,100,0.1,10000,0.5,1.0,False
IsolationForest,100,0.15,15000,0.3333,1.0,False
IsolationForest,100,0.2,20000,0.25,1.0,False
IsolationForest,200,0.01,1000,0.2,1.0,False
IsolationForest,200,0.02,2000,0.4,1.0,False
IsolationForest,200,0.03,3000,0.6,1.0,False
IsolationForest,200,0.05,5000,0.9451,0.9718,False
IsolationForest,200,0.07,7000,0.7143,1.0,False
IsolationForest,200,0.1,10000,0.5,1.0,False
IsolationForest,200,0.15,15000,0.3333,1.0,False
IsolationForest,200,0.2,20000,0.25,1.0,False
IsolationForest,300,0.01,1000,0.2,1.0,False
IsolationForest,300,0.02,2000,0.4,1.0,False
IsolationForest,300,0.03,3000,0.6,1.0,False
IsolationForest,300,0.05,5000,0.9346,0.9662,False
IsolationForest,300,0.07,7000,0.7143,1.0,False
IsolationForest,300,0.1,10000,0.5,1.0,False
IsolationForest,300,0.15,15000,0.3333,1.0,False
IsolationForest,300,0.2,20000,0.25,1.0,False
