record_index,combined_rank_score,Number of Services (value),Number of Services (pctile),Number of Medicare Beneficiaries (value),Number of Medicare Beneficiaries (pctile),Number of Distinct Medicare Beneficiary/Per Day Services (value),Number of Distinct Medicare Beneficiary/Per Day Services (pctile),Average Medicare Allowed Amount (value),Average Medicare Allowed Amount (pctile),Average Submitted Charge Amount (value),Average Submitted Charge Amount (pctile),Average Medicare Payment Amount (value),Average Medicare Payment Amount (pctile),Average Medicare Standardized Amount (value),Average Medicare Standardized Amount (pctile),statistically notable
7321,0.9725,25.0,31.4,24.0,38.07,25.0,32.86,20430.12,100.0,60940.84,100.0,15529.53,100.0,16957.15,100.0,Average Medicare Allowed Amount at p100.0; Average Submitted Charge Amount at p100.0; Average Medicare Payment Amount at p100.0; Average Medicare Standardized Amount at p100.0
2247,0.9601,13.0,5.78,13.0,9.06,13.0,6.3,20494.0,100.0,21941.0,99.97,16067.3,100.0,16067.3,100.0,Average Medicare Allowed Amount at p100.0; Average Submitted Charge Amount at p100.0; Average Medicare Payment Amount at p100.0; Average Medicare Standardized Amount at p100.0
85405,0.9587,2332.0,99.04,1429.0,99.77,2330.0,99.7,954.93,99.18,3000.0,98.58,745.3,99.19,763.73,99.22,Number of Services at p99.0; Number of Medicare Beneficiaries at p99.8; Number of Distinct Medicare Beneficiary/Per Day Services at p99.7; Average Medicare Allowed Amount at p99.2; Average Medicare Payment Amount at p99.2; Average Medicare Standardized Amount at p99.2
91494,0.9505,282739.0,100.0,190306.0,100.0,282737.0,100.0,16.44,18.09,93.36,35.99,16.1,20.77,16.12,20.29,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
8091,0.9472,27.0,34.21,27.0,42.79,27.0,35.77,7214.96,99.98,62694.0,100.0,5655.22,99.98,5966.13,99.98,Average Medicare Allowed Amount at p100.0; Average Submitted Charge Amount at p100.0; Average Medicare Payment Amount at p100.0; Average Medicare Standardized Amount at p100.0
77440,0.9454,193400.0,100.0,143200.0,100.0,192993.0,100.0,7.1,6.61,53.89,23.46,6.95,9.55,6.96,9.36,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
97943,0.945,254096.0,100.0,172448.0,100.0,254081.0,100.0,9.75,10.73,39.89,16.51,9.55,13.48,9.55,13.1,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
12651,0.9427,115109.0,99.99,82940.0,100.0,114997.0,100.0,11.04,12.49,28.54,10.84,10.81,15.29,10.88,15.07,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
58126,0.9394,136388.0,99.99,89393.0,100.0,136388.0,100.0,75.21,57.28,118.5,42.75,73.7,69.06,78.1,70.44,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
8526,0.9317,28.0,35.44,28.0,44.16,28.0,37.02,15354.0,100.0,15354.0,99.92,12037.54,100.0,12547.1,100.0,Average Medicare Allowed Amount at p100.0; Average Submitted Charge Amount at p99.9; Average Medicare Payment Amount at p100.0; Average Medicare Standardized Amount at p100.0
85435,0.9312,12.0,2.81,11.0,0.0,12.0,3.09,5995.74,99.98,9789.0,99.82,4606.65,99.98,5383.97,99.98,Average Medicare Allowed Amount at p100.0; Average Submitted Charge Amount at p99.8; Average Medicare Payment Amount at p100.0; Average Medicare Standardized Amount at p100.0
5690,0.9312,62870.0,99.97,49442.0,99.99,62870.0,99.99,32.11,31.83,266.13,71.83,31.46,38.62,39.78,43.71,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
99932,0.9289,16.0,14.21,15.0,16.51,16.0,15.13,18112.74,100.0,47000.0,100.0,14200.39,100.0,11749.62,100.0,Average Medicare Allowed Amount at p100.0; Average Submitted Charge Amount at p100.0; Average Medicare Payment Amount at p100.0; Average Medicare Standardized Amount at p100.0
46320,0.9284,63085.0,99.97,50802.0,99.99,63085.0,99.99,20.68,21.52,105.11,39.71,20.22,26.12,20.27,25.26,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
72235,0.9266,89823.0,99.99,57602.0,99.99,89823.0,99.99,11.07,12.54,58.04,25.22,10.83,15.31,10.85,14.96,Number of Services at p100.0; Number of Medicare Beneficiaries at p100.0; Number of Distinct Medicare Beneficiary/Per Day Services at p100.0
